;id;q_01_Dis_t1;q_02_NDis_t1;q_03_Dis_t2;q_04_Dis_t1;q_05_Dis_t2;q_06_NDis_t3;q_07_Dis_t3;q_08_Dis_t1;q_09_NDis_t3;q_10_Dis_t3;q_11_NDis_t1;q_12_Dis_t3;q_13_Dis_t3;q_14_NDis_t2;q_15_NDis_t3;q_16_NDis_t2;q_17_NDis_t3;q_18_Dis_t2;q_19_Dis_t3;q_20_NDis_t2;q_21_NDis_t3;q_22_Dis_t2;q_23_NDis_t2;q_24_NDis_t1;fatigue_pre;fatigue_post;gender;age;academic_lvl
0;NORM_F_01;1;1;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;0;1;6;;F;30_39;3
1;NORM_F_02;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1;3;2.0;F;20_29;2
2;NORM_F_03;1;1;0;1;1;0;1;1;1;1;0;1;1;0;1;1;1;1;1;1;0;1;0;1;8;7.0;F;20_29;3
3;NORM_F_04;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;6;5.0;F;20_29;3
4;NORM_F_05;1;1;1;1;0;1;1;0;0;1;1;0;1;0;0;1;1;1;0;1;1;1;1;0;8;7.0;F;20_29;3
5;NORM_F_06;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;1;1;1;1;5;5.0;F;30_39;3
6;NORM_F_07;0;1;0;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;2.0;F;20_29;3
7;NORM_F_08;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;1;0;1;7;7.0;F;20_29;3
8;NORM_F_09;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;8;8.0;F;20_29;3
9;NORM_F_10;0;1;0;1;1;1;1;0;1;1;1;1;0;1;0;1;1;0;0;0;1;0;0;1;4;3.0;F;20_29;3
10;NORM_F_11;1;1;0;1;1;1;1;1;1;1;0;1;1;0;1;0;1;1;0;1;1;1;0;1;8;8.0;F;20_29;3
11;NORM_F_13;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;1;3;3.0;F;20_29;3
12;NORM_F_15;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;1;0;1;1;4;4.0;F;30_39;3
13;NORM_F_16;0;1;0;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;0;0;1;0;1;1;8;7.0;F;30_39;3
14;NORM_F_17;0;1;0;0;0;1;1;1;0;1;1;1;1;0;1;1;1;1;0;1;1;1;0;1;9;8.0;F;20_29;3
15;NORM_F_18;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;5.0;F;30_39;3
16;NORM_F_19;0;1;1;1;1;0;1;1;1;1;1;1;0;1;0;1;1;1;0;0;1;1;1;1;7;7.0;F;20_29;2
17;NORM_F_20;1;1;0;1;1;0;1;1;1;1;1;0;1;0;1;1;1;1;0;0;1;0;1;1;6;6.0;F;30_39;3
18;NORM_F_21;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;8;8.0;F;30_39;3
19;NORM_F_22;1;1;1;1;0;0;1;1;0;1;0;1;1;1;0;1;1;1;0;1;0;1;1;1;6;7.0;F;30_39;3
20;NORM_F_25;1;1;0;1;1;1;1;0;1;1;1;0;1;1;1;0;1;1;1;0;1;1;0;1;7;7.0;F;30_39;2
21;NORM_F_26;1;1;0;0;1;1;1;0;1;0;1;1;0;1;0;1;1;1;0;0;1;1;1;1;4;5.0;F;30_39;3
22;NORM_F_27;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;1;0;0;1;1;4;2.0;F;20_29;2
23;NORM_F_28;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;0;1;7;7.0;F;20_29;2
24;NORM_F_29;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;1;0;0;1;2;1.0;F;20_29;2
25;NORM_H_01;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;7;7.0;H;30_39;3
26;NORM_H_02;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;7;7.0;H;20_29;2
27;NORM_H_03;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;7;7.0;H;20_29;3
28;NORM_H_04;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;3;3.0;H;20_29;3
29;NORM_H_05;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;5;5.0;H;20_29;2
30;NORM_H_06;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;4;1.0;H;20_29;3
31;NORM_H_07;0;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;4.0;H;20_29;3
32;NORM_H_08;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;7;7.0;H;20_29;3
33;NORM_H_09;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;5;5.0;H;20_29;3
34;NORM_H_12;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;1;1;0;1;1;1;1;4;4.0;H;20_29;3
35;NORM_H_13;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;0;8;8.0;H;20_29;3
36;NORM_H_14;0;1;1;1;0;1;1;1;0;1;1;1;1;0;0;1;1;0;1;1;1;1;0;1;8;6.0;H;30_39;3
37;NORM_H_15;0;1;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;0;1;1;0;0;1;4;3.0;H;30_39;3
38;NORM_H_16;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;1;0;1;1;7;7.0;H;20_29;3
39;NORM_H_17;1;1;0;0;1;1;1;0;1;1;1;0;1;0;1;1;1;1;1;0;1;0;0;1;8;8.0;H;20_29;2
40;NORM_H_18;1;1;0;1;0;1;1;1;0;1;1;1;0;1;1;0;1;1;0;0;1;0;1;0;7;7.0;H;20_29;2
41;NORM_H_19;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;1;8;7.0;H;30_39;3
42;NORM_H_20;1;1;1;1;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;0;1;1;1;1;9;9.0;H;20_29;3
43;NORM_H_23;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;1;4;3.0;H;30_39;3
44;NORM_H_24;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;8;8.0;H;30_39;3
45;NORM_H_25;0;1;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;4;7.0;H;30_39;3
46;NORM_H_26;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;0;1;1;8;8.0;H;30_39;3
47;NORM_H_28;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;8;8.0;H;20_29;2
48;NORM_H_29;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;3;3.0;H;30_39;3
49;NORM_H_30;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;0;1;8;7.0;H;30_39;3
